"dataset","specification","sample_size","outer_folds","model","zipcode_representation","completed_folds","n_test_n_train_ratio","rmse_mean","rmse_sample_variance","rmse_std","rmse_corrected_se","mae_mean","mae_sample_variance","mae_std","mae_corrected_se","r2_mean","r2_sample_variance","r2_std","r2_corrected_se"
"Ames Housing","Parsimonious","1000","5","OLS","Not applicable","5","0.25","0.23607453117781","0.00148596341484809","0.0385481959999179","0.0258589159997406","0.163863014568097","8.85446601515944E-05","0.00940981722200779","0.0063122972892773","0.660971855265392","0.0109123760832872","0.104462318963764","0.0700754538870727"
"Ames Housing","Parsimonious","1000","5","Ridge","Not applicable","5","0.25","0.236193748031502","0.00147223178372946","0.0383696727081358","0.025739158934943","0.163736578715225","8.63292074061179E-05","0.00929135121530329","0.00623282787607303","0.660725431007111","0.0107975216316459","0.103911123714672","0.0697057008733193"
"Ames Housing","Parsimonious","1000","5","Random Forest","Not applicable","5","0.25","0.226967127166107","0.000651663782840111","0.0255277061805426","0.0171245058988004","0.155156999900331","8.95631963148019E-05","0.00946378340384024","0.00634849890459633","0.68925203208342","0.00371193663710244","0.0609256648474388","0.0408701784519727"
"Ames Housing","Parsimonious","1000","5","XGBoost","Not applicable","5","0.25","0.222343239052824","0.000403713538470368","0.0200926239817095","0.0134785419208335","0.15603267539488","4.13355074592961E-05","0.00642926958987536","0.00431288515459005","0.702617377708196","0.00200747753155751","0.0448048828986028","0.0300560291655581"
"Ames Housing","Parsimonious","1000","5","TabPFN","Not applicable","5","0.25","0.208530446724039","0.00103744074054898","0.0322093269185958","0.0216066733498482","0.141520238354777","0.000107305896545513","0.0103588559477151","0.00694893182046572","0.735479810288986","0.00585641958785695","0.0765272473558075","0.051336038165558"
"Ames Housing","Parsimonious","2000","5","OLS","Not applicable","5","0.25","0.240026293986309","0.000793211469265166","0.0281640101772664","0.0188929923826091","0.166438700656122","0.000101908090257964","0.0100949537026162","0.00677190081262887","0.647481158541383","0.00267746951035282","0.0517442703142369","0.0347111117606274"
"Ames Housing","Parsimonious","2000","5","Ridge","Not applicable","5","0.25","0.239976734915821","0.000787494742769696","0.0280623367303882","0.0188247877609912","0.166385333126778","0.000101430423429435","0.0100712672206349","0.00675601143747149","0.6476715163492","0.00261264158257338","0.0511140057378932","0.034288317429673"
"Ames Housing","Parsimonious","2000","5","Random Forest","Not applicable","5","0.25","0.217612794809417","0.000375716002045524","0.0193833950082416","0.0130027766619475","0.150470652382609","9.14418218779721E-05","0.00956252173215686","0.00641473458882653","0.710724415912598","0.000559660427470831","0.0236571432652134","0.0158696941483405"
"Ames Housing","Parsimonious","2000","5","XGBoost","Not applicable","5","0.25","0.215925690488986","0.000295574799758672","0.0171922889621677","0.0115329380424679","0.150876101942798","5.35914628465249E-05","0.00732061902071983","0.00491082053031224","0.715133706317399","0.00032109536717458","0.0179191341078351","0.0120205205889163"
"Ames Housing","Parsimonious","2000","5","TabPFN","Not applicable","5","0.25","0.205178357366217","0.000459854423580555","0.0214442165532004","0.0143852177811547","0.140855115978654","3.98016814003363E-05","0.00630885737676295","0.00423211018643789","0.742867023388366","0.000799214065092836","0.0282703743359163","0.0189643436293423"
