specification,sample_size,outer_folds,model,fold,rmse,mae,r2,best_params
Parsimonious,1000,5,OLS,1,0.2211415539835112,0.1621584421042107,0.7004921727758131,{}
Parsimonious,1000,5,OLS,2,0.3046034088167788,0.1797968757869927,0.4813154271461225,{}
Parsimonious,1000,5,OLS,3,0.2118025388340597,0.1555612329197762,0.7512877432952196,{}
Parsimonious,1000,5,OLS,4,0.2197426406675503,0.1585649633481737,0.671507862184159,{}
Parsimonious,1000,5,OLS,5,0.2230825135871525,0.1632335586813319,0.7002560709256472,{}
Parsimonious,1000,5,Random Forest,1,0.2109974581275319,0.1533127112867703,0.7273396993882456,"{'model__max_depth': None, 'model__min_samples_leaf': 5, 'model__n_estimators': 500}"
Parsimonious,1000,5,Random Forest,2,0.2678039461115875,0.1673539840726035,0.5990707359743719,"{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}"
Parsimonious,1000,5,Random Forest,3,0.2098314880712366,0.1497585516400267,0.7558952749382399,"{'model__max_depth': 10, 'model__min_samples_leaf': 5, 'model__n_estimators': 500}"
Parsimonious,1000,5,Random Forest,4,0.2096763808166122,0.1436060282497447,0.7009145232690812,"{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}"
Parsimonious,1000,5,Random Forest,5,0.2365263627035675,0.1617537242525077,0.663039926847161,"{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__n_estimators': 200}"
Parsimonious,1000,5,XGBoost,1,0.2118604096171708,0.1564836932894224,0.7251048499982318,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 2, 'model__n_estimators': 100, 'model__subsample': 0.8}"
Parsimonious,1000,5,XGBoost,2,0.2567709400037974,0.1627915602433869,0.631425271250792,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__subsample': 0.8}"
Parsimonious,1000,5,XGBoost,3,0.211499373424171,0.1538183759706022,0.7519992266490758,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__subsample': 0.8}"
Parsimonious,1000,5,XGBoost,4,0.2081674410745003,0.1463908223603645,0.7052037814024411,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 1.0}"
Parsimonious,1000,5,XGBoost,5,0.2234180311444815,0.1606789251106247,0.6993537592404404,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__subsample': 0.8}"
Parsimonious,1000,5,TabPFN,1,0.1973098200227602,0.1400864801481466,0.7615678234828716,{}
Parsimonious,1000,5,TabPFN,2,0.2639636149405678,0.1574508811947325,0.6104870085875314,{}
