dataset,specification,sample_size,outer_folds,model,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std
California Housing,Extended,1000,5,Ridge,0.3811249224544778,0.08419092208557283,0.26657015422129354,0.019709792689147417,0.5459204986092387,0.183759459039648
California Housing,Extended,1000,5,Random Forest,0.3010760959687037,0.016806280239792113,0.22349066922399724,0.015507034045431722,0.7200521931756567,0.0372413977766434
California Housing,Extended,1000,5,XGBoost,0.26300541936006666,0.018922617588799383,0.19245256760456092,0.013674740120295247,0.7861498913148552,0.032632340371870044
California Housing,Extended,1000,5,TabPFN,0.2277119910303858,0.010733145182474329,0.1587354991779414,0.008333987086620951,0.8403953476037603,0.015393911392146409
California Housing,Extended,2500,5,Ridge,0.34107477673334297,0.02118402404409051,0.2516579374443569,0.00859849608112997,0.6395146822273162,0.04256467729489989
California Housing,Extended,2500,5,Random Forest,0.26537442442684755,0.008345184307919327,0.19671541902111073,0.00680342123073887,0.7821817387308682,0.012033359610514336
California Housing,Extended,2500,5,XGBoost,0.24305654022630185,0.01056641748717426,0.17964192885671842,0.006171059226374827,0.81685602641192,0.019002696863684655
California Housing,Extended,2500,5,TabPFN,0.20335862593081994,0.008450648725863825,0.14089344181636498,0.003849327159757387,0.8719560726506115,0.011039359482923738
California Housing,Extended,5000,5,Ridge,0.33651931569919113,0.016047116776719036,0.2504641016834731,0.010862760938607729,0.6486322365645062,0.033394368230896455
California Housing,Extended,5000,5,Random Forest,0.2517786772844411,0.00961929414518743,0.18187123433763377,0.0052775949857711705,0.8036046538060235,0.011020882919847473
California Housing,Extended,5000,5,XGBoost,0.23693803185663342,0.013015869896056536,0.17233437603312407,0.00401474224730972,0.8259593241992851,0.015496336996878449
California Housing,Extended,5000,5,TabPFN,0.19397126814504353,0.011384373266751149,0.12969028383409353,0.0037434005242742755,0.8832053335267119,0.012853125287910678
California Housing,Extended,10000,5,Ridge,0.34884015284454917,0.0043144530181010235,0.2647606492172595,0.0052057386323979705,0.621170935407638,0.01051477393341503
California Housing,Extended,10000,5,Random Forest,0.24135198654482207,0.004749775202515254,0.17015576320688003,0.003750058454324295,0.8187030466979961,0.004666645852985325
California Housing,Extended,10000,5,XGBoost,0.23654341278809077,0.004030008526175495,0.16975498083257823,0.002062132433804403,0.8258666592432709,0.0030075069522569092
California Housing,Extended,10000,5,TabPFN,0.19118322234643925,0.0037291268624646766,0.12458490493654698,0.002623811094493569,0.8862022098855352,0.004332180694190399
California Housing,Extended,20640,5,Ridge,0.3554386875594861,0.0097941384377781,0.2691510642036497,0.004250971783828,0.6096860181512728,0.0196554940386068
California Housing,Extended,20640,5,Random Forest,0.2318317292746709,0.0098637690669886,0.1594358870595081,0.0049832011213,0.8338059252438231,0.013738872933559
California Housing,Extended,20640,5,XGBoost,0.233187352317323,0.0075298797013986,0.1663918727718563,0.0042894519091962,0.8319378966496691,0.0106284298114794
California Housing,Extended,20640,5,TabPFN,0.1878728390503573,0.0096642592775551,0.1189906481302613,0.003668767883677,0.8907830639039661,0.0109956400912608
California Housing,Parsimonious,1000,5,Ridge,0.4080149347532867,0.01023518696237126,0.3119425547907465,0.011656515214615176,0.4869853398330699,0.04723609409389007
California Housing,Parsimonious,1000,5,Random Forest,0.3603471122785237,0.024359114216240058,0.2764995343116242,0.020150146357639124,0.5980410808504122,0.06338024340233993
California Housing,Parsimonious,1000,5,XGBoost,0.3583172677276607,0.01896267691649275,0.2752559312219767,0.015343333710770176,0.6039920025055736,0.04727389750558773
California Housing,Parsimonious,1000,5,TabPFN,0.3395186960347521,0.020449178775733646,0.25913282083811373,0.015132336402666384,0.6434647681825757,0.052849304996718194
California Housing,Parsimonious,2500,5,Ridge,0.40695933158526787,0.009945393307317836,0.30998364024937314,0.008807451243378433,0.4866884037910405,0.04450814425208029
California Housing,Parsimonious,2500,5,Random Forest,0.34843032232584664,0.010426016818671335,0.26701067212270174,0.007901800890699109,0.6246877100770937,0.014974876214087447
California Housing,Parsimonious,2500,5,XGBoost,0.34984708671834847,0.011244723134568764,0.26876581759520574,0.009784883206425192,0.6215770896146317,0.017685719423314043
California Housing,Parsimonious,2500,5,TabPFN,0.33700054076318725,0.012023963943602795,0.2573820638368785,0.009480444378159722,0.6485807009215627,0.023810481845362
California Housing,Parsimonious,5000,5,Ridge,0.4123800233788469,0.023796881595275782,0.31316237357926624,0.012606133996873024,0.4733020051251158,0.04179357150415917
California Housing,Parsimonious,5000,5,Random Forest,0.3527287403044845,0.009037666584188772,0.2672777821062387,0.006373729981052289,0.6146664469687665,0.010559241815800069
California Housing,Parsimonious,5000,5,XGBoost,0.3513151964426586,0.011623500866845366,0.2659109154491181,0.008094960672582995,0.6178363416280329,0.012446017541209803
California Housing,Parsimonious,5000,5,TabPFN,0.34262648355743447,0.009023582742179001,0.2583109137352837,0.007731654000277807,0.6363592135503093,0.012987264858673414
California Housing,Parsimonious,10000,5,Ridge,0.4059098110555273,0.009576130736994804,0.3097205695101254,0.0052538336034078665,0.487180294556834,0.01689179682897751
California Housing,Parsimonious,10000,5,Random Forest,0.3530763820734601,0.006253038076486312,0.268086396753887,0.0038436398769337004,0.6119688104321173,0.010524531946529168
California Housing,Parsimonious,10000,5,XGBoost,0.35119444902072117,0.006993880067257052,0.26681346720920385,0.0054544140299751616,0.6160728232523242,0.012422849786296817
California Housing,Parsimonious,10000,5,TabPFN,0.34408164120853285,0.005652482081555067,0.2595491758263656,0.004069426387486204,0.6314574266909186,0.01077063763494098
California Housing,Parsimonious,20640,5,Ridge,0.4100912493562759,0.0088981715067438,0.3120638737480475,0.0036378589847232,0.4805111366802458,0.0202030933191488
California Housing,Parsimonious,20640,5,Random Forest,0.3525574861794988,0.0077463249269827,0.2659234506440574,0.0051297634789135,0.6160060549660485,0.0163173850173262
California Housing,Parsimonious,20640,5,XGBoost,0.3512998968639637,0.0080353666661006,0.2651235477530179,0.0054531055896267,0.6187285350860166,0.0168956411521317
California Housing,Parsimonious,20640,5,TabPFN,0.3457413299956634,0.0081570918845848,0.2596523599719965,0.0059410988707097,0.6306958000951489,0.0167557433523472
