dataset,specification,sample_size,outer_folds,model,fold,rmse,mae,r2,best_params
California Housing,Parsimonious,1000,5,Ridge,1,0.4184308813645674,0.3245468455101132,0.5014075109805552,{'model__alpha': 1}
California Housing,Parsimonious,1000,5,Ridge,2,0.4090144172458912,0.3024936755939134,0.4393103585095479,{'model__alpha': 10}
California Housing,Parsimonious,1000,5,Ridge,3,0.3968073466295672,0.312879249097553,0.5617097851774611,{'model__alpha': 1}
California Housing,Parsimonious,1000,5,Ridge,4,0.4175004268903997,0.3218568083917117,0.4666970054253176,{'model__alpha': 10}
California Housing,Parsimonious,1000,5,Ridge,5,0.3983216016360078,0.297936195360441,0.4658020390724676,{'model__alpha': 10}
California Housing,Parsimonious,1000,5,Random Forest,1,0.3789456311400009,0.2822781271663122,0.5910670717497326,"{'model__max_depth': 10, 'model__min_samples_leaf': 5, 'model__n_estimators': 200}"
California Housing,Parsimonious,1000,5,Random Forest,2,0.3636898311894479,0.2816884497271038,0.5566899100796323,"{'model__max_depth': None, 'model__min_samples_leaf': 5, 'model__n_estimators': 500}"
California Housing,Parsimonious,1000,5,Random Forest,3,0.3255765253253497,0.2507427447970816,0.704941225601917,"{'model__max_depth': None, 'model__min_samples_leaf': 5, 'model__n_estimators': 500}"
California Housing,Parsimonious,1000,5,Random Forest,4,0.3858024970811343,0.303781645718313,0.5446029184544658,"{'model__max_depth': None, 'model__min_samples_leaf': 5, 'model__n_estimators': 500}"
California Housing,Parsimonious,1000,5,Random Forest,5,0.3477210766566856,0.2640067041493101,0.5929042783663132,"{'model__max_depth': 10, 'model__min_samples_leaf': 5, 'model__n_estimators': 500}"
California Housing,Parsimonious,1000,5,XGBoost,1,0.3762457890569087,0.2839867847712268,0.5968732943680486,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 2, 'model__n_estimators': 300, 'model__subsample': 0.8}"
California Housing,Parsimonious,1000,5,XGBoost,2,0.3559361803016959,0.2779257307802761,0.5753906329858081,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__subsample': 0.8}"
California Housing,Parsimonious,1000,5,XGBoost,3,0.3378274100247305,0.260886171972134,0.6823183471446264,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.05, 'model__max_depth': 2, 'model__n_estimators': 300, 'model__subsample': 0.8}"
California Housing,Parsimonious,1000,5,XGBoost,4,0.3792164877100167,0.2947324011937725,0.5600183160886438,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__subsample': 0.8}"
California Housing,Parsimonious,1000,5,XGBoost,5,0.3423604715449515,0.258748567392474,0.6053594219407412,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__subsample': 0.8}"
California Housing,Parsimonious,1000,5,TabPFN,1,0.3513176806626029,0.2585060685133687,0.6485218859725952,{}
California Housing,Parsimonious,1000,5,TabPFN,2,0.3429638191940018,0.267300858462666,0.6057770412901087,{}
California Housing,Parsimonious,1000,5,TabPFN,3,0.3121872815286016,0.2406875805240277,0.7287106292114767,{}
California Housing,Parsimonious,1000,5,TabPFN,4,0.3642911110699698,0.279570887814826,0.5939707478717959,{}
California Housing,Parsimonious,1000,5,TabPFN,5,0.3268335877185843,0.2495987088756803,0.6403435365669017,{}
California Housing,Extended,1000,5,Ridge,1,0.3639877513239989,0.2831970753746099,0.6227130252769967,{'model__alpha': 1}
California Housing,Extended,1000,5,Ridge,2,0.3318717723790436,0.2431829276421675,0.6308644019365396,{'model__alpha': 0.001}
California Housing,Extended,1000,5,Ridge,3,0.5301503026964836,0.28945177126588,0.2176512486762235,{'model__alpha': 1}
California Housing,Extended,1000,5,Ridge,4,0.3420489964410426,0.2647131301935605,0.6420380908555763,{'model__alpha': 1}
California Housing,Extended,1000,5,Ridge,5,0.3375657894318205,0.2523058666302496,0.6163357263008575,{'model__alpha': 1}
California Housing,Extended,1000,5,Random Forest,1,0.3146868568498735,0.2327286270330635,0.7179958608719516,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}"
California Housing,Extended,1000,5,Random Forest,2,0.3030775316293775,0.2248650031476405,0.692140341972659,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 200}"
California Housing,Extended,1000,5,Random Forest,3,0.2804469645811654,0.2062243039711976,0.7810707174288992,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}"
California Housing,Extended,1000,5,Random Forest,4,0.3194338502224816,0.2434667006245676,0.6878078009151471,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}"
California Housing,Extended,1000,5,Random Forest,5,0.2877352765606204,0.2101687113435169,0.721246244689627,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}"
California Housing,Extended,1000,5,XGBoost,1,0.2804450282820087,0.2021824353281929,0.7760279815046824,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 0.8}"
California Housing,Extended,1000,5,XGBoost,2,0.2590001237945066,0.1945983973324736,0.7751746682860415,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 0.8}"
California Housing,Extended,1000,5,XGBoost,3,0.2393232642387713,0.1783093024386436,0.8405692086294617,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 0.8}"
California Housing,Extended,1000,5,XGBoost,4,0.283920569962237,0.2085214824800342,0.7533654636940764,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 0.8}"
California Housing,Extended,1000,5,XGBoost,5,0.2523381105228096,0.1786512204434602,0.7856121344600142,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 0.8}"
California Housing,Extended,1000,5,TabPFN,1,0.2231917577624429,0.1561029946474757,0.8581417563553374,{}
California Housing,Extended,1000,5,TabPFN,2,0.2293698056601883,0.1588333577709056,0.8236734164789661,{}
California Housing,Extended,1000,5,TabPFN,3,0.2348522689654663,0.1621715309851338,0.8464704817952111,{}
California Housing,Extended,1000,5,TabPFN,4,0.2393114593019149,0.16965734210388,0.8247785924478854,{}
California Housing,Extended,1000,5,TabPFN,5,0.2118346634619165,0.1469122703823117,0.8489124909414014,{}
