dataset,specification,sample_size,outer_folds,model,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std
California Housing,Extended,1000,5,OLS,0.38137907320491055,0.08467629245798976,0.26666425873130467,0.019820168552851958,0.5451958678577071,0.18516763207949388
California Housing,Extended,1000,5,Random Forest,0.30107609596870366,0.01680628023979212,0.2234906692239972,0.015507034045431748,0.7200521931756567,0.0372413977766434
California Housing,Extended,1000,5,Ridge,0.3811249224544778,0.08419092208557283,0.26657015422129354,0.019709792689147417,0.5459204986092387,0.183759459039648
California Housing,Extended,1000,5,TabPFN,0.2277119910303858,0.010733145182474323,0.15873549917794136,0.008333987086620956,0.8403953476037603,0.015393911392146409
California Housing,Extended,1000,5,XGBoost,0.26300541936006666,0.018922617588799408,0.19245256760456092,0.013674740120295233,0.7861498913148552,0.032632340371870044
California Housing,Extended,2500,5,OLS,0.3410891704976143,0.02122464888182568,0.2516223828481112,0.008628573866094195,0.6394842205873299,0.04261143135079971
California Housing,Extended,2500,5,Random Forest,0.26537442442684755,0.008345184307919301,0.19671541902111067,0.00680342123073887,0.7821817387308682,0.012033359610514336
California Housing,Extended,2500,5,Ridge,0.34107477673334297,0.021184024044090533,0.2516579374443568,0.008598496081129954,0.6395146822273162,0.04256467729489989
California Housing,Extended,2500,5,TabPFN,0.2033586259308199,0.008450648725863853,0.14089344181636493,0.0038493271597573936,0.8719560726506115,0.011039359482923738
California Housing,Extended,2500,5,XGBoost,0.24305654022630177,0.010566417487174249,0.1796419288567184,0.006171059226374828,0.81685602641192,0.019002696863684655
California Housing,Extended,5000,5,OLS,0.33657494738915655,0.016079910278993553,0.2503564882346191,0.01080495997683491,0.6485131901398482,0.03349051470281438
California Housing,Extended,5000,5,Random Forest,0.2517786772844411,0.00961929414518741,0.18187123433763372,0.005277594985771169,0.8036046538060235,0.011020882919847473
California Housing,Extended,5000,5,Ridge,0.33651931569919113,0.01604711677671902,0.25046410168347305,0.010862760938607729,0.6486322365645062,0.033394368230896455
California Housing,Extended,5000,5,TabPFN,0.19397126814504348,0.011384373266751175,0.1296902838340935,0.0037434005242742855,0.8832053335267119,0.012853125287910678
California Housing,Extended,5000,5,XGBoost,0.23693803185663337,0.013015869896056555,0.17233437603312404,0.004014742247309705,0.8259593241992851,0.015496336996878449
California Housing,Extended,10000,5,OLS,0.34884238377694954,0.0043132958887715745,0.26475908847825624,0.005206443804388804,0.6211661701922644,0.010510136393654288
California Housing,Extended,10000,5,Random Forest,0.241351986544822,0.004749775202515291,0.17015576320688,0.0037500584543242897,0.8187030466979961,0.004666645852985325
California Housing,Extended,10000,5,Ridge,0.34884015284454906,0.0043144530181010235,0.2647606492172595,0.005205738632397971,0.621170935407638,0.01051477393341503
California Housing,Extended,10000,5,TabPFN,0.19118322234643922,0.0037291268624646988,0.12458490493654692,0.002623811094493602,0.8862022098855352,0.004332180694190399
California Housing,Extended,10000,5,XGBoost,0.2365434127880907,0.004030008526175534,0.1697549808325782,0.002062132433804395,0.8258666592432709,0.0030075069522569092
California Housing,Extended,20640,5,OLS,0.3553316429001553,0.01004368746263786,0.26893543962379507,0.004551201279676021,0.6099116688467687,0.02018519645764279
California Housing,Parsimonious,1000,5,OLS,0.40814019679351554,0.009803452633554338,0.31107281458321634,0.01172530151183761,0.48657357179132904,0.048320660321555776
California Housing,Parsimonious,1000,5,Random Forest,0.3603471122785237,0.024359114216240048,0.2764995343116241,0.020150146357639124,0.5980410808504122,0.06338024340233993
California Housing,Parsimonious,1000,5,Ridge,0.4080149347532867,0.01023518696237126,0.3119425547907465,0.011656515214615196,0.4869853398330699,0.04723609409389008
California Housing,Parsimonious,1000,5,TabPFN,0.3395186960347521,0.02044917877573365,0.25913282083811373,0.0151323364026664,0.6434647681825757,0.052849304996718194
California Housing,Parsimonious,1000,5,XGBoost,0.35831726772766065,0.018962676916492754,0.27525593122197667,0.015343333710770176,0.6039920025055736,0.04727389750558773
California Housing,Parsimonious,2500,5,OLS,0.4074627221079843,0.010630294649353653,0.3095859914400687,0.00877739758998692,0.4853022440830889,0.04682065295656526
California Housing,Parsimonious,2500,5,Random Forest,0.34843032232584664,0.010426016818671332,0.26701067212270174,0.007901800890699112,0.6246877100770937,0.014974876214087447
California Housing,Parsimonious,2500,5,Ridge,0.40695933158526776,0.009945393307317836,0.30998364024937314,0.008807451243378448,0.4866884037910405,0.04450814425208029
California Housing,Parsimonious,2500,5,TabPFN,0.3370005407631872,0.012023963943602776,0.2573820638368785,0.009480444378159725,0.6485807009215627,0.023810481845362
California Housing,Parsimonious,2500,5,XGBoost,0.3498470867183484,0.01124472313456879,0.26876581759520574,0.009784883206425204,0.6215770896146317,0.017685719423314043
California Housing,Parsimonious,5000,5,OLS,0.41181697651086546,0.024520591234245742,0.31195782581441456,0.012894437539433899,0.47465917316569356,0.04432874877560639
California Housing,Parsimonious,5000,5,Random Forest,0.3527287403044845,0.009037666584188747,0.26727778210623865,0.006373729981052283,0.6146664469687665,0.010559241815800069
California Housing,Parsimonious,5000,5,Ridge,0.4123800233788469,0.023796881595275793,0.31316237357926624,0.012606133996873027,0.4733020051251158,0.04179357150415917
California Housing,Parsimonious,5000,5,TabPFN,0.3426264835574344,0.009023582742179001,0.2583109137352837,0.007731654000277795,0.6363592135503093,0.012987264858673414
California Housing,Parsimonious,5000,5,XGBoost,0.3513151964426585,0.011623500866845403,0.2659109154491181,0.008094960672583,0.6178363416280329,0.012446017541209803
California Housing,Parsimonious,10000,5,OLS,0.40579169208224525,0.00977745755274678,0.3092976789029774,0.005736416559488411,0.48747418970255296,0.0174085922766844
California Housing,Parsimonious,10000,5,Random Forest,0.35307638207346004,0.006253038076486344,0.268086396753887,0.003843639876933688,0.6119688104321173,0.010524531946529168
California Housing,Parsimonious,10000,5,Ridge,0.4059098110555272,0.009576130736994835,0.3097205695101254,0.005253833603407884,0.487180294556834,0.01689179682897751
California Housing,Parsimonious,10000,5,TabPFN,0.34408164120853285,0.0056524820815550625,0.2595491758263656,0.004069426387486221,0.6314574266909186,0.01077063763494098
California Housing,Parsimonious,10000,5,XGBoost,0.35119444902072117,0.006993880067257043,0.26681346720920385,0.005454414029975189,0.6160728232523242,0.012422849786296817
California Housing,Parsimonious,20640,5,OLS,0.40999621531570096,0.008971915350118447,0.31176883526621274,0.0038286143918905,0.4807479602781159,0.020431835901026638
