dataset,specification,sample_size,outer_folds,model,fold,rmse,mae,r2,best_params,zipcode_representation
King County,Parsimonious,1000,5,Ridge,1,0.3927873926189918,0.3029038835609789,0.5888534201862214,{'model__alpha': 1},Not applicable
King County,Parsimonious,1000,5,Ridge,2,0.3550373253032037,0.2879241566307147,0.4762161938528869,{'model__alpha': 10},Not applicable
King County,Parsimonious,1000,5,Ridge,3,0.3412006625605239,0.2698717751183097,0.5854594520857304,{'model__alpha': 10},Not applicable
King County,Parsimonious,1000,5,Ridge,4,0.3831002248607827,0.3103065408136577,0.5497580418229933,{'model__alpha': 10},Not applicable
King County,Parsimonious,1000,5,Ridge,5,0.3683553835791441,0.2967314431331971,0.504386688897446,{'model__alpha': 10},Not applicable
King County,Parsimonious,1000,5,Random Forest,1,0.3906513037644573,0.3081783079887137,0.5933131231665636,"{'model__max_depth': 5, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}",Not applicable
King County,Parsimonious,1000,5,Random Forest,2,0.3499958742540905,0.2837267611847276,0.4909858084812627,"{'model__max_depth': None, 'model__min_samples_leaf': 5, 'model__n_estimators': 200}",Not applicable
King County,Parsimonious,1000,5,Random Forest,3,0.3336121349004707,0.26167237530285,0.6036937109937169,"{'model__max_depth': None, 'model__min_samples_leaf': 5, 'model__n_estimators': 200}",Not applicable
King County,Parsimonious,1000,5,Random Forest,4,0.3771107821478199,0.3099269006140285,0.5637262828261809,"{'model__max_depth': 5, 'model__min_samples_leaf': 5, 'model__n_estimators': 200}",Not applicable
King County,Parsimonious,1000,5,Random Forest,5,0.3744165380264684,0.3000398042052732,0.4879422239382825,"{'model__max_depth': 5, 'model__min_samples_leaf': 5, 'model__n_estimators': 500}",Not applicable
King County,Parsimonious,1000,5,XGBoost,1,0.375180221380468,0.2889978998407156,0.6248875547669215,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__subsample': 0.8}",Not applicable
King County,Parsimonious,1000,5,XGBoost,2,0.3453594902080829,0.2793727327711339,0.5043822746959736,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.05, 'model__max_depth': 2, 'model__n_estimators': 300, 'model__subsample': 0.8}",Not applicable
King County,Parsimonious,1000,5,XGBoost,3,0.3188117757861513,0.2577907342640887,0.6380771575536017,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 2, 'model__n_estimators': 300, 'model__subsample': 0.8}",Not applicable
King County,Parsimonious,1000,5,XGBoost,4,0.364837527129043,0.3001679185494579,0.5916616612310888,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 2, 'model__n_estimators': 100, 'model__subsample': 0.8}",Not applicable
King County,Parsimonious,1000,5,XGBoost,5,0.3640395227757249,0.2928054460058103,0.5159324259762947,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 2, 'model__n_estimators': 100, 'model__subsample': 0.8}",Not applicable
King County,Extended,1000,5,Ridge,1,0.2012991047746621,0.1500047438143488,0.8920145383115915,{'model__alpha': 1},One-hot encoded
King County,Extended,1000,5,Ridge,2,0.2046596604450193,0.1517669485678655,0.8259521994519177,{'model__alpha': 1},One-hot encoded
King County,Extended,1000,5,Ridge,3,0.2126443103265625,0.1498903604664024,0.8389892699368992,{'model__alpha': 1},One-hot encoded
King County,Extended,1000,5,Ridge,4,0.2217205596584358,0.1578387089931724,0.849188977980277,{'model__alpha': 1},One-hot encoded
King County,Extended,1000,5,Ridge,5,0.1975923218944618,0.1500616124799757,0.8573903059152955,{'model__alpha': 1},One-hot encoded
King County,Extended,1000,5,Random Forest,1,0.2337165558766326,0.1596247114473533,0.8544337956015757,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}",One-hot encoded
King County,Extended,1000,5,Random Forest,2,0.2267060860839231,0.1600770944622115,0.7864348429506828,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}",One-hot encoded
King County,Extended,1000,5,Random Forest,3,0.2227960900091015,0.1546353893971676,0.8232487820311017,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 200}",One-hot encoded
King County,Extended,1000,5,Random Forest,4,0.2295512276318475,0.1695367012100611,0.838348257571038,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}",One-hot encoded
King County,Extended,1000,5,Random Forest,5,0.2062449840273595,0.152738703389558,0.8446269435112651,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}",One-hot encoded
King County,Extended,1000,5,XGBoost,1,0.2029901655127861,0.1404760545660934,0.8901926027009537,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 2, 'model__n_estimators': 300, 'model__subsample': 0.8}",One-hot encoded
King County,Extended,1000,5,XGBoost,2,0.2027533998757767,0.1432858957462344,0.829179365059427,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 0.8}",One-hot encoded
King County,Extended,1000,5,XGBoost,3,0.2220202027328995,0.159321554455401,0.8244777104901447,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 2, 'model__n_estimators': 300, 'model__subsample': 0.8}",One-hot encoded
King County,Extended,1000,5,XGBoost,4,0.202624419190847,0.1509490281959634,0.8740481018884277,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 0.8}",One-hot encoded
King County,Extended,1000,5,XGBoost,5,0.1973837705344801,0.1439613388330252,0.8576911855230361,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 2, 'model__n_estimators': 300, 'model__subsample': 1.0}",One-hot encoded
King County,Parsimonious,1000,5,TabPFN,1,0.3549646262779193,0.2749898104160535,0.6642223739319093,{},Not applicable
King County,Parsimonious,1000,5,TabPFN,2,0.3459225085426629,0.2740977546355971,0.5027650073174723,{},Not applicable
King County,Parsimonious,1000,5,TabPFN,3,0.3157583176154424,0.2502113294833968,0.6449766772824226,{},Not applicable
King County,Parsimonious,1000,5,TabPFN,4,0.3540197411503856,0.2906408198285112,0.615517912698512,{},Not applicable
King County,Parsimonious,1000,5,TabPFN,5,0.3555914519944375,0.2848821224277308,0.5381387315212011,{},Not applicable
King County,Extended,1000,5,TabPFN,1,0.1823975270661897,0.1288390515525078,0.9113416806662992,{},Category-coded
King County,Extended,1000,5,TabPFN,2,0.1825109402641945,0.1281356359617722,0.8615854178541335,{},Category-coded
King County,Extended,1000,5,TabPFN,3,0.2036551004988934,0.1392651780215608,0.8523144964298096,{},Category-coded
King County,Extended,1000,5,TabPFN,4,0.1835915960179076,0.1320505773651094,0.8965985222644026,{},Category-coded
King County,Extended,1000,5,TabPFN,5,0.1692225507452134,0.1224228590358616,0.8954015152922744,{},Category-coded
King County,Parsimonious,2500,5,Ridge,1,0.3740431751544737,0.2997647891402944,0.5099586645915557,{'model__alpha': 10},Not applicable
King County,Parsimonious,2500,5,Ridge,2,0.3723947218561081,0.2912334317886151,0.5692351593868048,{'model__alpha': 1},Not applicable
King County,Parsimonious,2500,5,Ridge,3,0.3556780454623232,0.2862262772196166,0.5166508352881558,{'model__alpha': 1},Not applicable
King County,Parsimonious,2500,5,Ridge,4,0.3578370176507836,0.2962699611941415,0.5749332478822329,{'model__alpha': 10},Not applicable
King County,Parsimonious,2500,5,Ridge,5,0.3492338464313782,0.278847731680412,0.568287105752143,{'model__alpha': 10},Not applicable
King County,Parsimonious,2500,5,Random Forest,1,0.3747382191269012,0.295368217381767,0.5081357909267666,"{'model__max_depth': 10, 'model__min_samples_leaf': 5, 'model__n_estimators': 500}",Not applicable
King County,Parsimonious,2500,5,Random Forest,2,0.3654444692325133,0.2866912286228796,0.5851644165902106,"{'model__max_depth': None, 'model__min_samples_leaf': 5, 'model__n_estimators': 200}",Not applicable
King County,Parsimonious,2500,5,Random Forest,3,0.3550393583660934,0.2781020182122515,0.5183851661295993,"{'model__max_depth': 10, 'model__min_samples_leaf': 5, 'model__n_estimators': 500}",Not applicable
King County,Parsimonious,2500,5,Random Forest,4,0.3398629423259212,0.2778126563274569,0.6165628117355602,"{'model__max_depth': 10, 'model__min_samples_leaf': 5, 'model__n_estimators': 200}",Not applicable
King County,Parsimonious,2500,5,Random Forest,5,0.3361938911830028,0.2616971869530247,0.5999244588739524,"{'model__max_depth': None, 'model__min_samples_leaf': 5, 'model__n_estimators': 200}",Not applicable
King County,Parsimonious,2500,5,XGBoost,1,0.3656282804807341,0.291021009163562,0.5317596833480993,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 0.8}",Not applicable
King County,Parsimonious,2500,5,XGBoost,2,0.3483449354347376,0.2736938132618236,0.6230773669186721,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 0.8}",Not applicable
King County,Parsimonious,2500,5,XGBoost,3,0.3499758106309158,0.2788833724579765,0.5320247218593963,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.05, 'model__max_depth': 2, 'model__n_estimators': 300, 'model__subsample': 0.8}",Not applicable
