dataset,specification,sample_size,outer_folds,model,zipcode_representation,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std
King County,Extended,1000,5,OLS,One-hot encoded,0.20865692325854512,0.01045733308565129,0.15183471017244382,0.004296893730528303,0.8508618548288853,0.028500657135757335
King County,Extended,1000,5,Random Forest,One-hot encoded,0.2238029887257728,0.010595357620934208,0.15932251998127028,0.006525067710947152,0.8294185243331327,0.026563426602629638
King County,Extended,1000,5,Ridge,One-hot encoded,0.20758319141982828,0.009660931082194032,0.15191247486435294,0.003402040006231745,0.8527070583191962,0.024916800917149703
King County,Extended,1000,5,TabPFN,Category-coded,0.18427554291847972,0.012341681153845619,0.13014266038736236,0.0061681308174781815,0.8834483265013839,0.025204898962748617
King County,Extended,1000,5,XGBoost,One-hot encoded,0.2055543915693579,0.009498520058995347,0.1475987743593435,0.007602841086445928,0.8551177931323979,0.028314474741225792
King County,Extended,2500,5,OLS,One-hot encoded,0.191899147718759,0.010188701964870548,0.14126150313707725,0.007941700035434186,0.8729678445471489,0.009915415853056367
King County,Extended,2500,5,Random Forest,One-hot encoded,0.19983914028665717,0.01433629253851519,0.14223165415023636,0.00909098403811282,0.8620008293772722,0.017451934407540042
King County,Extended,2500,5,Ridge,One-hot encoded,0.19194603756236858,0.010117519872155919,0.14134089572475897,0.007855373744015648,0.8729043899668463,0.009871296291884728
King County,Extended,2500,5,TabPFN,Category-coded,0.16771088087711286,0.007982355667401122,0.11797671053259248,0.007246864334823439,0.9029559213315691,0.007069442555655905
King County,Extended,2500,5,XGBoost,One-hot encoded,0.18154418281113818,0.009502500915737207,0.13087158978759472,0.006872502995660523,0.8862595800234635,0.00948662774104105
King County,Extended,5000,5,OLS,One-hot encoded,0.18816456335758533,0.005967813687820344,0.1385894604101902,0.002727576341152642,0.873000351504562,0.010378635408299645
King County,Extended,5000,5,Random Forest,One-hot encoded,0.19208569983220375,0.008056426103299557,0.13609676647428023,0.0036118447976042013,0.8674366526716362,0.014765092144773563
King County,Extended,5000,5,Ridge,One-hot encoded,0.18817961508755493,0.006044465465022925,0.13860497172976316,0.002766162260347401,0.8729810144630346,0.010405953197787091
King County,Extended,5000,5,TabPFN,Category-coded,0.1612506961265277,0.00875690550982508,0.1137724417574969,0.003605299639416278,0.9066145113665882,0.010952927201871666
King County,Extended,5000,5,XGBoost,One-hot encoded,0.17294661197312505,0.007133567933655052,0.1247427508060909,0.0033958387687186746,0.8927591551519006,0.008859826721110147
King County,Extended,21613,5,OLS,One-hot encoded,0.18806884332668214,0.0011205083274243197,0.13788032078169352,0.0008361397908075361,0.8724412956524323,0.0016536939388911572
King County,Parsimonious,1000,5,OLS,Not applicable,0.36805548132227023,0.020792062695486797,0.2933523587452396,0.015421878102572431,0.5410426502344972,0.04960797761257288
King County,Parsimonious,1000,5,Random Forest,Not applicable,0.36515732661866135,0.022932126613295998,0.2927088298591186,0.02020797471347565,0.5479322298812013,0.05536225267038568
King County,Parsimonious,1000,5,Ridge,Not applicable,0.3680961977845293,0.020789102154757086,0.2935475598513716,0.015578083928342248,0.5409347593690556,0.049700982905157974
King County,Parsimonious,1000,5,TabPFN,Not applicable,0.3452513291161695,0.016944317201472683,0.2749643673582579,0.015472375194719952,0.5931241405503035,0.06970167421097782
King County,Parsimonious,1000,5,XGBoost,Not applicable,0.35364570745589397,0.022243469301780103,0.2838269462862413,0.016371499220327185,0.574988214844776,0.06168660230219253
King County,Parsimonious,2500,5,OLS,Not applicable,0.3618048936552855,0.01078372130439266,0.2903884616152368,0.008158597639044703,0.5478973487258775,0.031521947563872964
King County,Parsimonious,2500,5,Random Forest,Not applicable,0.3542557760468864,0.01642191126463857,0.2799342614994759,0.01249312621870125,0.5656345288512178,0.049217661855560285
King County,Parsimonious,2500,5,Ridge,Not applicable,0.36183736131101335,0.01087690514008215,0.29046843820461593,0.008271967342252553,0.5478130025801784,0.0316924162185547
King County,Parsimonious,2500,5,TabPFN,Not applicable,0.33649394346427886,0.011708174085081801,0.26429647712564536,0.0073889934283172575,0.6084319124786581,0.036789037000052684
King County,Parsimonious,2500,5,XGBoost,Not applicable,0.3471430241905469,0.012326941590063872,0.27724430009600487,0.008750933179048915,0.5826377550924994,0.046989591440608484
King County,Parsimonious,5000,5,OLS,Not applicable,0.3579632561940327,0.010306994535521597,0.28733692509104997,0.0063518824313035065,0.5409740333117464,0.02479456749465516
King County,Parsimonious,5000,5,Random Forest,Not applicable,0.34583520121510813,0.006032276454848493,0.2729580330981721,0.005963274685578296,0.5713242752633865,0.024062713690932783
King County,Parsimonious,5000,5,Ridge,Not applicable,0.3579882782639645,0.010290204706752095,0.2874082111677086,0.0063131129394221035,0.5409057460644611,0.024872506327087422
King County,Parsimonious,5000,5,TabPFN,Not applicable,0.33446909539489933,0.006558523428675812,0.26273986175866404,0.004410599406946859,0.5989807728494747,0.024474824222304105
King County,Parsimonious,5000,5,XGBoost,Not applicable,0.34015940339525436,0.007445904693434711,0.26976545836889293,0.005629464805540546,0.5853618516990358,0.022856958830266224
King County,Parsimonious,21613,5,OLS,Not applicable,0.35676063871869645,0.005291001210534673,0.2854616290551776,0.0026056500709420003,0.5409189187013002,0.013630715798748694
