dataset,feature_specification,sample_size,metric,mean_difference,sd_difference,corrected_se_difference,ci_lower,ci_upper,n_folds
Ames Housing,Extended,2930,MAE,0.015920357219994859,0.0032446555749123694,0.0021765811287233158,0.0098781680066589335,0.021962546433330784,5
Ames Housing,Extended,2930,R2,0.029639104210390045,0.0070028364438274706,0.0046976454971133334,0.016598440310403431,0.042679768110376659,5
Ames Housing,Extended,2930,RMSE,0.019469025853233495,0.0058476513986371647,0.0039227238108223263,0.0085795445543907188,0.030358507152076272,5
Ames Housing,Parsimonious,2930,MAE,0.0080809161714997628,0.0029881376368711392,0.0020045036646508347,0.0025164139984290464,0.013645418344570479,5
Ames Housing,Parsimonious,2930,R2,0.02328682209710493,0.0098183016262556877,0.006586316957971336,0.005003206221776503,0.041570437972433358,5
Ames Housing,Parsimonious,2930,RMSE,0.009486447803143316,0.0045089839506210171,0.003024718386913245,0.0010898295610721493,0.017883066045214481,5
California Housing,Extended,20640,MAE,0.040445238929246743,0.0021626892370625152,0.0014507760444836826,0.03641788462976004,0.044472593228733447,5
California Housing,Extended,20640,R2,0.05697713866014302,0.0036086540774192071,0.0024207587473173407,0.050257112377590084,0.063697164942695964,5
California Housing,Extended,20640,RMSE,0.043958890224313617,0.0019490567586896667,0.0013074670213306496,0.040329361773099731,0.047588418675527502,5
California Housing,Parsimonious,20640,MAE,0.0062710906720608974,0.00085317932991272097,0.00057233009360476914,0.0046823023322140585,0.0078598790119077371,5
California Housing,Parsimonious,20640,R2,0.014689745129100396,0.0026898406727084616,0.0018043999778459652,0.0096807307905999972,0.019698759467600795,5
California Housing,Parsimonious,20640,RMSE,0.0068161561838353535,0.0012589095790570331,0.0008445022188891515,0.0044718180241990688,0.0091604943434716382,5
King County,Extended,21613,MAE,0.016942850243847715,0.00048032473587053559,0.00032221162820434475,0.016048390763952453,0.017837309723742978,5
King County,Extended,21613,R2,0.026972431652178198,0.0011076209822189248,0.00074301474286398057,0.024909822725987789,0.029035040578368608,5
King County,Extended,21613,RMSE,0.022564254327031734,0.00047486798343429338,0.00031855112738919721,0.021679956397399322,0.023448552256664146,5
King County,Parsimonious,21613,MAE,0.0090929750736524987,0.0017695151408173829,0.0011870268426248344,0.0057977885585259589,0.012388161588779038,5
King County,Parsimonious,21613,R2,0.023301981383515802,0.0036152546370279382,0.0024251865373097394,0.016569663555943966,0.030034299211087637,5
King County,Parsimonious,21613,RMSE,0.0097554565978124064,0.0016497136682000189,0.0011066615716517326,0.0066833640749071974,0.012827549120717615,5
