dataset,feature_specification,sample_size,metric,mean_difference,sd_difference,corrected_se_difference,ci_lower,ci_upper,n_folds
Ames Housing,Extended,1000,MAE,0.022914330909711279,0.010256838605566683,0.0068804965068873765,0.0038140726065919242,0.042014589212830633,5
Ames Housing,Extended,1000,R2,0.050646740827475292,0.024620526275372031,0.016515951118065472,0.0047984605237255465,0.096495021131225045,5
Ames Housing,Extended,1000,RMSE,0.030613147934746017,0.01748847980624868,0.011731628900971321,-0.00195385389435037,0.063180149763842397,5
Ames Housing,Extended,2000,MAE,0.017539305720168118,0.0050124423745164393,0.0033624485648157654,0.0082051485042395535,0.02687346293609668,5
Ames Housing,Extended,2000,R2,0.03765148495477786,0.017196863967746168,0.011536007049509155,0.0056275293853404462,0.069675440524215274,5
Ames Housing,Extended,2000,RMSE,0.021855693858462158,0.0090253518707015083,0.0060543900911230394,0.0050487069655046034,0.038662680751419709,5
Ames Housing,Extended,2930,MAE,0.015920357219994859,0.0032446555749123694,0.0021765811287233158,0.0098781680066589335,0.021962546433330784,5
Ames Housing,Extended,2930,R2,0.029639104210390045,0.0070028364438274706,0.0046976454971133334,0.016598440310403431,0.042679768110376659,5
Ames Housing,Extended,2930,RMSE,0.019469025853233495,0.0058476513986371647,0.0039227238108223263,0.0085795445543907188,0.030358507152076272,5
Ames Housing,Parsimonious,1000,MAE,0.013636761545553234,0.0032171811975924866,0.0021581507561252949,0.0076457350465494152,0.019627788044557053,5
Ames Housing,Parsimonious,1000,R2,0.046227778205566096,0.027974091407682356,0.018765590998911161,-0.0058655024074112799,0.098321058818543472,5
Ames Housing,Parsimonious,1000,RMSE,0.018436680442068577,0.011660603262357357,0.0078221704659860586,-0.0032776647715087211,0.040151025655645878,5
Ames Housing,Parsimonious,2000,MAE,0.0096155364039546554,0.0047699585970848099,0.0031997855018823496,0.00073293185072925357,0.018498140957180057,5
Ames Housing,Parsimonious,2000,R2,0.032142607475767561,0.014461910042599868,0.0097013441819220544,0.0052116760267519394,0.059073538924783182,5
Ames Housing,Parsimonious,2000,RMSE,0.01243443744320038,0.0056877337820080368,0.0038154478123475825,0.0018427543161234922,0.023026120570277267,5
Ames Housing,Parsimonious,2930,MAE,0.0080809161714997628,0.0029881376368711392,0.0020045036646508347,0.0025164139984290464,0.013645418344570479,5
Ames Housing,Parsimonious,2930,R2,0.02328682209710493,0.0098183016262556877,0.006586316957971336,0.005003206221776503,0.041570437972433358,5
Ames Housing,Parsimonious,2930,RMSE,0.009486447803143316,0.0045089839506210171,0.003024718386913245,0.0010898295610721493,0.017883066045214481,5
California Housing,Extended,1000,MAE,0.064755170046055854,0.012799912375262349,0.0085864422531382236,0.040919206351344148,0.088591133740767561,5
California Housing,Extended,1000,R2,0.12034315442810353,0.031089568048151918,0.020855516264031943,0.062448241279150864,0.17823806757705621,5
California Housing,Extended,1000,RMSE,0.073364104938317909,0.016971295040749904,0.011384690813196555,0.041760203240884274,0.10496800663575154,5
California Housing,Extended,2500,MAE,0.055821977204745729,0.0068611561542311966,0.0046026034695305961,0.043045149973328797,0.068598804436162661,5
California Housing,Extended,2500,R2,0.08977433391974339,0.014909560773376043,0.010001637421179951,0.062009788438547847,0.11753887940093893,5
California Housing,Extended,2500,RMSE,0.06201579849602764,0.010430849844830073,0.006997226794839953,0.042591496913551935,0.081440100078503344,5
California Housing,Extended,5000,MAE,0.052180950503540227,0.0037947599002551326,0.0025456023285782394,0.045114358439407032,0.059247542567673422,5
California Housing,Extended,5000,R2,0.079600679720688267,0.0046201535734418835,0.0030992932370113857,0.070997041694744661,0.088204317746631872,5
California Housing,Extended,5000,RMSE,0.057807409139397567,0.0051854427886608512,0.0034785007706645216,0.048151091000032856,0.067463727278762278,5
California Housing,Extended,10000,MAE,0.045570858270333067,0.0037357220492966609,0.0025059985341816461,0.038614206339444818,0.052527510201221317,5
California Housing,Extended,10000,R2,0.067499163187539082,0.006676516661082983,0.0044787435321274422,0.055066171142353307,0.079932155232724858,5
California Housing,Extended,10000,RMSE,0.050168764198382773,0.0052729691362013416,0.003537215229541364,0.040349454721175945,0.059988073675589601,5
California Housing,Extended,20640,MAE,0.040445238929246743,0.0021626892370625152,0.0014507760444836826,0.03641788462976004,0.044472593228733447,5
California Housing,Extended,20640,R2,0.05697713866014302,0.0036086540774192071,0.0024207587473173407,0.050257112377590084,0.063697164942695964,5
California Housing,Extended,20640,RMSE,0.043958890224313617,0.0019490567586896667,0.0013074670213306496,0.040329361773099731,0.047588418675527502,5
California Housing,Parsimonious,1000,MAE,0.017366713473510393,0.0063039139679402995,0.0042287940469874817,0.0056275811990731447,0.02910584574794764,5
California Housing,Parsimonious,1000,R2,0.04542368733216344,0.012715105402259747,0.0085295520061582815,0.021745650963068051,0.069101723701258833,5
California Housing,Parsimonious,1000,RMSE,0.020828416243771609,0.0050511230535217203,0.0033883963531172625,0.01142222796751809,0.030234604520025129,5
California Housing,Parsimonious,2500,MAE,0.0096286082858232421,0.0058787933546975042,0.0039436144700332959,-0.0013188654829891858,0.02057608205463567,5
California Housing,Parsimonious,2500,R2,0.023892990844469053,0.014517535331657928,0.0097386587602026255,-0.0031415258738534332,0.050927507562791539,5
California Housing,Parsimonious,2500,RMSE,0.011429781562659424,0.0072464460661661656,0.0048610637997700459,-0.0020645315455022229,0.024924094670821073,5
California Housing,Parsimonious,5000,MAE,0.0089668683709549779,0.0023383406513134706,0.001568606595266416,0.0046124164624954077,0.013321320279414548,5
California Housing,Parsimonious,5000,R2,0.021692766581542823,0.0084343168274430679,0.0056579117309799188,0.0059864036163425685,0.037399129546743078,5
California Housing,Parsimonious,5000,RMSE,0.010102256747050087,0.003919170926182723,0.0026290597819156139,0.0028039867924523438,0.01740052670164783,5
California Housing,Parsimonious,10000,MAE,0.0085372209275213825,0.0018943869444539574,0.0012707933950461502,0.0050094984628732703,0.012064943392169495,5
California Housing,Parsimonious,10000,R2,0.019488616258801539,0.003892958796934656,0.0026114761510655075,0.012239158463443691,0.026738074054159386,5
California Housing,Parsimonious,10000,RMSE,0.0089947408649272195,0.0018834695741112169,0.0012634698003795779,0.0054873486990735122,0.012502133030780927,5
California Housing,Parsimonious,20640,MAE,0.0062710906720608974,0.00085317932991272097,0.00057233009360476914,0.0046823023322140585,0.0078598790119077371,5
California Housing,Parsimonious,20640,R2,0.014689745129100396,0.0026898406727084616,0.0018043999778459652,0.0096807307905999972,0.019698759467600795,5
California Housing,Parsimonious,20640,RMSE,0.0068161561838353535,0.0012589095790570331,0.0008445022188891515,0.0044718180241990688,0.0091604943434716382,5
King County,Extended,1000,MAE,0.029179859593907943,0.0082340132108060429,0.0055235439800980857,0.013846501505155658,0.044513217682660228,5
King County,Extended,1000,R2,0.054029802168251172,0.01662817570463071,0.01115451936520942,0.023064856410429824,0.08499474792607252,5
King County,Extended,1000,RMSE,0.039527445807293116,0.012490842200204017,0.0083791116767637664,0.016267031792596903,0.062787859821989325,5
King County,Extended,2500,MAE,0.024254943617643899,0.0027272160254454801,0.0018294721266668668,0.019176328994016677,0.02933355824127112,5
King County,Extended,2500,R2,0.04095509195429705,0.011927966257424059,0.0080015230154771855,0.018742864063332386,0.063167319845261721,5
King County,Extended,2500,RMSE,0.032128259409544314,0.0079266613593845982,0.0053173660902614559,0.017367251142978515,0.046889267676110111,5
King County,Extended,5000,MAE,0.022324324716783334,0.0017261959165730328,0.0011579674235819573,0.01910980714891982,0.025538842284646847,5
King County,Extended,5000,R2,0.039177858694951918,0.0058995706236769068,0.0039575522857807181,0.028191693549624648,0.050164023840279189,5
King County,Extended,5000,RMSE,0.03083500370567608,0.003112121935719902,0.0020876748607613796,0.025039618292202491,0.036630389119149669,5
King County,Extended,10000,MAE,0.01919298384502572,0.0023975277404802431,0.0016083105016965894,0.014728313892315988,0.023657653797735451,5
King County,Extended,10000,R2,0.033293606538178963,0.0033958230109222996,0.0022779873275940821,0.026969913716777792,0.039617299359580138,5
King County,Extended,10000,RMSE,0.026971423399434702,0.0026216722700445469,0.0017586712231637378,0.022089352083932166,0.031853494714937237,5
King County,Extended,21613,MAE,0.016942850243847715,0.00048032473587053559,0.00032221162820434475,0.016048390763952453,0.017837309723742978,5
King County,Extended,21613,R2,0.026972431652178198,0.0011076209822189248,0.00074301474286398057,0.024909822725987789,0.029035040578368608,5
King County,Extended,21613,RMSE,0.022564254327031734,0.00047486798343429338,0.00031855112738919721,0.021679956397399322,0.023448552256664146,5
King County,Parsimonious,1000,MAE,0.017744462500860713,0.0093931915667912671,0.0063011444607069091,0.00025248547793833495,0.035236439523783095,5
King County,Parsimonious,1000,R2,0.045191910669102123,0.021573554549807375,0.014471980346900748,0.0050176932261056517,0.085366128112098594,5
King County,Parsimonious,1000,RMSE,0.019905997502491835,0.011349299598509253,0.007613341619783328,-0.0012286388340266817,0.041040633839010354,5
King County,Parsimonious,2500,MAE,0.015637784373830576,0.0060888090597831356,0.004084497287907502,0.0042992199025993511,0.026976348845061802,5
King County,Parsimonious,2500,R2,0.042797383627440275,0.013909489980676752,0.0093307695387436357,0.016895167387887943,0.068699599866992603,5
King County,Parsimonious,2500,RMSE,0.017761832582607506,0.005015565344847219,0.0033645435170011669,0.0084218597794122677,0.027101805385802744,5
King County,Parsimonious,5000,MAE,0.010218171339508097,0.0020962964501568672,0.0014062384090626765,0.0063144535159501067,0.014121889163066087,5
King County,Parsimonious,5000,R2,0.027656497586088215,0.0038511848710056787,0.0025834533496462372,0.020484831087470262,0.034828164084706167,5
King County,Parsimonious,5000,RMSE,0.011366105820208772,0.0016875739898575672,0.0011320590475146183,0.0082235099043081912,0.014508701736109353,5
King County,Parsimonious,10000,MAE,0.0088260881346294284,0.0011044503982301586,0.00074088785046580441,0.0067693834617363561,0.010882792807522501,5
King County,Parsimonious,10000,R2,0.021074184146764364,0.0040831010487709339,0.0027390274512157477,0.013470643942189449,0.028677724351339279,5
King County,Parsimonious,10000,RMSE,0.0087055163683868453,0.0018520580205431134,0.001242398289662431,0.0052566187162839369,0.012154414020489755,5
King County,Parsimonious,21613,MAE,0.0090929750736524987,0.0017695151408173829,0.0011870268426248344,0.0057977885585259589,0.012388161588779038,5
King County,Parsimonious,21613,R2,0.023301981383515802,0.0036152546370279382,0.0024251865373097394,0.016569663555943966,0.030034299211087637,5
King County,Parsimonious,21613,RMSE,0.0097554565978124064,0.0016497136682000189,0.0011066615716517326,0.0066833640749071974,0.012827549120717615,5
