dataset,feature_specification,sample_size,metric,mean_difference,sd_difference,corrected_se_difference,ci_lower,ci_upper,n_folds
Ames Housing,Extended,1000,MAE,0.011514679333434636,0.005163246033432382,0.003463610734593287,0.0018996959342036709,0.021129662732665602,5
Ames Housing,Extended,1000,R2,0.018596252519265933,0.011905412598133956,0.007986393560882973,-0.003573976005745199,0.04076648104427706,5
Ames Housing,Extended,1000,RMSE,0.012416003365756106,0.008497435438273785,0.00570025298231877,-0.003407898913160798,0.028239905644673012,5
Ames Housing,Extended,2000,MAE,0.00840070255208438,0.0038102344436889454,0.002555982967889873,0.0013052938332220928,0.015496111270946666,5
Ames Housing,Extended,2000,R2,0.014401334538907174,0.009014145868784336,0.006046872876510202,-0.0023847845662851447,0.031187453644099493,5
Ames Housing,Extended,2000,RMSE,0.008934148112866682,0.005614866889478067,0.0037665672148457273,-0.0015218424755450554,0.01939013870127842,5
Ames Housing,Extended,2930,MAE,0.008593098033565283,0.0029421351249311854,0.00197364424150079,0.0031142616191590904,0.014071934447971475,5
Ames Housing,Extended,2930,R2,0.014701998638353041,0.005035001007234906,0.0033775813556871483,0.005325832794965518,0.024078164481740563,5
Ames Housing,Extended,2930,RMSE,0.010153072885324896,0.004330051174812635,0.0029046866318801633,0.0020896627952255633,0.018216482975424227,5
Ames Housing,Parsimonious,1000,MAE,0.014512437040102799,0.005764671239073018,0.003867059027551563,0.0037774811796196604,0.02524739290058594,5
Ames Housing,Parsimonious,1000,R2,0.0328624325807898,0.032763679452213104,0.02197854433444847,-0.02815000649163915,0.09387487165321876,5
Ames Housing,Parsimonious,1000,RMSE,0.013812792328785638,0.013733676516360352,0.009212830281472276,-0.011762024532581399,0.039387609190152675,5
Ames Housing,Parsimonious,2000,MAE,0.01002098596414357,0.0033503968856325493,0.0022475145563633906,0.0037818855556787986,0.01626008637260834,5
Ames Housing,Parsimonious,2000,R2,0.027733317070966955,0.01299401076846164,0.008716647413593353,0.0035359038508318077,0.0519307302911021,5
Ames Housing,Parsimonious,2000,RMSE,0.010747333122769232,0.005089580064046193,0.003414194100040506,0.0012695303010567885,0.020225135944481675,5
Ames Housing,Parsimonious,2930,MAE,0.009012890622268765,0.0028454616550290827,0.0019087937064042257,0.003714079293290635,0.014311701951246895,5
Ames Housing,Parsimonious,2930,R2,0.01819055091174071,0.012889797225596217,0.0086467388437864,-0.005812796118610332,0.04219389794209175,5
Ames Housing,Parsimonious,2930,RMSE,0.007557501063967198,0.005637198833471521,0.0037815479382974516,-0.0029400760127465267,0.018055078140680924,5
California Housing,Extended,1000,MAE,0.03371706842661955,0.011140684645801072,0.007473398455169809,0.012970914315068159,0.05446322253817094,5
California Housing,Extended,1000,R2,0.05424545628890502,0.029679740862256634,0.019909775436775218,-0.0010240803235829765,0.10951499290139302,5
California Housing,Extended,1000,RMSE,0.035293428329680854,0.01986362314678043,0.013324923490691797,-0.0016965592804795704,0.07228341593984128,5
California Housing,Extended,2500,MAE,0.038748487040353455,0.003741958884368048,0.002510182330336869,0.03178022089133831,0.0457167531893686,5
California Housing,Extended,2500,R2,0.05510004623869158,0.008843487906146105,0.005932392034901992,0.03863172594980365,0.0715683665275795,5
California Housing,Extended,2500,RMSE,0.03969791429548186,0.004049353420117468,0.002716388853691177,0.03215721883763516,0.04723860975332857,5
California Housing,Extended,5000,MAE,0.04264409219903054,0.0031411524290391327,0.0021071491077060255,0.03679464627603861,0.048493538122022464,5
California Housing,Extended,5000,R2,0.05724600932742676,0.007231059674180295,0.004850742294247386,0.04378034871859602,0.0707116699362575,5
California Housing,Extended,5000,RMSE,0.042966763711589896,0.005584107320448136,0.00374593306865287,0.03256805351300953,0.05336547391017026,5
California Housing,Extended,10000,MAE,0.04517007589603127,0.0028235427859358442,0.0018940900820195055,0.03991208182834512,0.05042806996371742,5
California Housing,Extended,10000,R2,0.06033555064226435,0.004045941435143766,0.002714100024589355,0.052801208974004296,0.0678698923105244,5
California Housing,Extended,10000,RMSE,0.04536019044165151,0.003619500618846122,0.0024280348285027455,0.03861996575772789,0.05210041512557513,5
California Housing,Extended,20640,MAE,0.04740122464159494,0.0015030162441432755,0.0010082539479572352,0.04460231168206566,0.050200137601124226,5
California Housing,Extended,20640,R2,0.058845167254297025,0.0023509297322791647,0.0015770516075104782,0.054467271991847935,0.06322306251674611,5
California Housing,Extended,20640,RMSE,0.04531451326696566,0.0025748867419473154,0.0017272865368071469,0.04051956584078902,0.050109460693142295,5
California Housing,Parsimonious,1000,MAE,0.01612311038386293,0.006781516530848307,0.004549179586054609,0.0034945878529753366,0.028751632914750525,5
California Housing,Parsimonious,1000,R2,0.03947276567700202,0.009073511020375468,0.006086696230845908,0.022576096940173776,0.05636943441383026,5
California Housing,Parsimonious,1000,RMSE,0.01879857169290857,0.006000592280398619,0.004025319673269538,0.007624284279912335,0.029972859105904807,5
California Housing,Parsimonious,2500,MAE,0.011383753758327203,0.003831352009622754,0.002570149061774072,0.00424901996284238,0.018518487553812024,5
California Housing,Parsimonious,2500,R2,0.02700361130693112,0.007306018374387456,0.004901026118997858,0.013398362800593068,0.04060885981326917,5
California Housing,Parsimonious,2500,RMSE,0.012846545955161225,0.003969150426780408,0.0026625870501609883,0.0054552043039143225,0.020237887606408128,5
California Housing,Parsimonious,5000,MAE,0.00760000171383442,0.001912097237864871,0.0012826738210366308,0.0040392991866367335,0.011160704241032106,5
California Housing,Parsimonious,5000,R2,0.018522871922276397,0.007220238851932621,0.004843483466011914,0.0050773618206273255,0.03196838202392547,5
California Housing,Parsimonious,5000,RMSE,0.008688712885224137,0.0035577315653163785,0.0023865988877232467,0.002063514372904404,0.015313911397543869,5
California Housing,Parsimonious,10000,MAE,0.007264291382838184,0.0017533225669957078,0.0011761645338860497,0.00399925863677051,0.010529324128905858,5
California Housing,Parsimonious,10000,R2,0.015384603438594602,0.0033124009949172255,0.0022220261380118556,0.00921625887947369,0.021552947997715514,5
California Housing,Parsimonious,10000,RMSE,0.007112807812188327,0.0015314299633143232,0.0010273144502252508,0.004260982898363031,0.009964632726013622,5
California Housing,Parsimonious,20640,MAE,0.005471187781021303,0.0010862251905133075,0.0007286620094581246,0.003448422042765549,0.0074939535192770565,5
California Housing,Parsimonious,20640,R2,0.011967265009132321,0.0016351745579154232,0.0010969084399731158,0.008922247179766953,0.01501228283849769,5
California Housing,Parsimonious,20640,RMSE,0.0055585668683003076,0.0007365005162864106,0.0004940595659640315,0.004187057513184156,0.006930076223416459,5
King County,Extended,1000,MAE,0.017456113971981126,0.004021393635788833,0.0026976328601726585,0.009967485152141827,0.024944742791820428,5
King County,Extended,1000,R2,0.02833053336898599,0.0068887087605375074,0.0046210863197280565,0.015502397745420905,0.04115866899255107,5
King County,Extended,1000,RMSE,0.021278848650878163,0.003951157039436104,0.0026505167189867836,0.013921014238970852,0.028636683062785474,5
King County,Extended,2500,MAE,0.012894879255002243,0.002252781415380397,0.0015112117149716274,0.008699755534241006,0.01709000297576348,5
King County,Extended,2500,R2,0.01669634130810569,0.003044778145676622,0.002042499273041605,0.011026363326142194,0.022366319290069187,5
King County,Extended,2500,RMSE,0.013833301934025332,0.0022119606107285435,0.0014838282867422922,0.00971419461002873,0.017952409258021933,5
King County,Extended,5000,MAE,0.010970309048594005,0.0011948877864783414,0.0008015550948149476,0.008745192105387711,0.013195425991800298,5
King County,Extended,5000,R2,0.013855356214687631,0.0026409877402556042,0.0017716284344865268,0.008937315680553034,0.01877339674882223,5
King County,Extended,5000,RMSE,0.011695915846597394,0.00270961176143106,0.001817662827357838,0.006650083837852036,0.016741747855342753,5
King County,Extended,10000,MAE,0.011937713954796179,0.0008669670998276407,0.0005815792108411353,0.010323250065501187,0.01355217784409117,5
King County,Extended,10000,R2,0.015644912621820283,0.0014203097977694887,0.0009527727770764668,0.013000015392656012,0.018289809850984554,5
King County,Extended,10000,RMSE,0.013231864138767997,0.0014513895633347215,0.0009736217176350521,0.010529090250613092,0.015934638026922902,5
King County,Extended,21613,MAE,0.013763794075578923,0.0012690293646967282,0.0008512907774715768,0.011400610877317826,0.01612697727384002,5
King County,Extended,21613,R2,0.015791988214603103,0.0005337771169597856,0.00035806857550678097,0.014797989848996279,0.016785986580209928,5
King County,Extended,21613,RMSE,0.013587990353707818,0.0005305738622817997,0.00035591976694401476,0.012599957080671232,0.014576023626744403,5
King County,Parsimonious,1000,MAE,0.0088625789279834,0.0032525943790009527,0.0021819066404039533,0.0028056060942220256,0.014919551761744775,5
King County,Parsimonious,1000,R2,0.018135925705527377,0.01593054188542304,0.010686532372264076,-0.011529888159877696,0.04780173957093245,5
